data_id,document,metadata
中山大学的创办,中山大学是由伟大的民族英雄、伟大的爱国主义者、中国民主革命的伟大先驱孙中山先生于1924年亲手创办，中国共产党早期领导人共同创建的大学，是中国传播马克思主义的重要发源地之一，具有优良革命传统、鲜亮红色基因和卓越品格追求。中山大学起初校名为国立广东大学。孙中山先生逝世后，学校于1926年定名为国立中山大学。,"创办,1924年,年份,大事记"
相关人才,在近百年的办学历史中，中山大学汇聚一大批蜚声海内外的名家大师，学术文脉积淀深厚。邓植仪、丁颖、冯友兰、郭沫若、鲁迅、傅斯年、顾颉刚、商承祚、何思敬、赵元任、周谷城、梁伯强、蒲蛰龙、王亚南、刘节、岑仲勉、王起、柯麟、陈寅恪、姜立夫、杨荣国、梁方仲、容庚、高兆兰、谢志光、陈耀真、陈心陶、林树模、秦光煜、钟世藩、周寿恺、董每戡、戴镏龄、高由禧等著名学者先后在本校任教。近年来，中山大学吸引集聚了一大批海内外优秀的学术英才，奋斗在教学和科研第一线，致力于培养更多更优秀的社会主义事业建设者和接班人。,"相关人才,学术英才"
办学格局,1999年9月，珠海市人民政府与中山大学正式签署合作建设中山大学珠海校区协议书；2000年1月，教育部批复同意建设中山大学珠海校区。2015年9月，深圳市人民政府与中山大学签署合作举办中山大学深圳校区的备忘录；同年12月，获教育部批复同意建设深圳校区。至此，中山大学形成了三校区五校园统筹发展的办学格局，在广州、珠海、深圳扎根办学，各校区统筹规划、错位发展，三校区五校园共同支撑中山大学高质量内涵式发展。,"办学格局,1999年,年份,三校区五校园,珠海校区,深圳校区"
学科发展,近年来，中山大学在加强文理医传统优势学科的基础上，努力补齐工科短板，填补了农学、艺术学空白，学科门类更加齐全，形成了文理医工农艺综合发展的学科格局。广州校区重点提升文、理、医传统优势学科，珠海校区重点发展深海、深空、深地、深蓝学科群，深圳校区着力发展新医科、新工科、新农科，学校综合性办学优势和特色愈发凸显，学科实力居于国内高校前列。,"学科发展,办学优势,学科格局,学科实力"
人文社会科学,中山大学人文社会科学以习近平新时代中国特色社会主义思想为指导，坚持“四个面向”，积极倡导“出思想、出理论、出学派”；学科与科研规划聚焦国家重大战略，服务区域社会经济发展需求，紧握粤港澳大湾区建设重要机遇，进一步推进有组织科研，推动跨学科交叉融合发展，激发人文社科发展新动能，为加快建构中国自主的知识体系贡献中大力量。,人文社会科学
医科,中山大学医科有着悠久的历史和卓越的实力，我国最早的西医教育诞生于此。目前，中山大学医学教育教学改革深入推进，医学科研创新日新月异，拥有10家直属附属医院，构建了门类齐全、实力雄厚、技术领先、设备先进、优势互补、具有强烈社会责任意识的医疗救治服务网络体系，医教研综合实力、医疗服务能力与规模居于全国领先行列,"医科,医疗实力,医疗服务"
办学情况,中山大学现有70个院系，本科专业办学权136个，研究生教育已涵盖除军事学外的所有学科门类。中山大学坚持以立德树人为根本任务，坚持以学生成长为中心，坚持通识教育与专业教育相融合，深入推动教学改革，落实“加强基础、促进交叉、尊重选择、卓越教学”培养理念，培养学生的学习力、思想力、行动力，塑造学生的创造力，全面提高人才自主培养质量，培养全面发展、引领未来的高水平人才。,"办学情况,人才培养"
学术治理体系,学校大力推进学部制改革，组建人文学部、社会科学学部、经济与管理学部、理学部、工学部、信息学部、医学部等7个学部，构建 “学校—学部—院系”三级学术治理体系，统筹相同和相近学科的学术标准与学术评价，加强跨学院（系）的合作协同，形成高质量发展合力。,"学术治理体系,学部制,学部制改革"
空话,中山大学进入发展新时期，即将开启新的百年征程。“博学、审问、慎思、明辨、笃行”的校训精神，激励着一代又一代中大人奋勇前行。站在新的历史起点上，中山大学确立了事业发展“两步走”的战略安排，即“从二〇二一年到二〇三五年，在稳居国内一流大学群体前列的基础上，高质量内涵式发展水平显著提升，把学校建设成为具有领先水平的中国特色、世界一流大学；从二〇三五年到本世纪中叶，把学校建设成为具有鲜明中国特色、显著中大风格、引领未来发展的世界强校，推动办学水平进入世界一流大学前列”，坚定地与党和国家事业发展同心同向同步同行，努力建设中国特色世界一流大学，立志为国家发展、民族复兴、人类文明进步作出中大贡献！,空话
师生人数,"截至2023年5月31日,中大有专任教师 4970人，其中校本部3733人，正高级 1683人，副高级 2216人、专业技术人员（实验技术、工程技术、图书资料、编辑出版、会计系列） 984人、博士后、专职科研人员 2142人、在校学生 65965人，普通本科生 33093人，全日制硕士 17867人，非全日制硕士（含在职攻读硕士）4750人，全日制博士 9647人，留学生 608人 （其中：本科生 387人，硕士研究生 155人，博士研究生 66人）、本科专业（办学权）136个、博士学位一级学科授权点57个、硕士学位一级学科授权点64个、专业学位类别43种、博士后科研流动站44个、校园5个，广州校区（含南、北、东三个校园） 3个珠海校区 1个深圳校区 1个、附属医院10家、国际合作学院1所、国家级研究机构36个、省部级科研机构241个、地方研究院10家、重大平台10个","办学情况,学习资源,成就,截至,2023年,年份,大事记,"
创办人,孙中山,创办人
学校类别,综合类,学校类别
现任领导,陈春声（党委书记）、高松（校长）,现任领导
本科专业数,136个,本科专业数
硕士点学术学位授权二级学科数,4个（不含一级学科覆盖）,"硕士点,学术学位授权二级学科,数量"
博士点学术学位授权一级学科,57个,博士点学术学位授权一级学科
学院数量,70个学院（系、部） ,学院数量
校歌,"《中山大学校歌》。歌词如下：白云山高,珠江水长,吾校矗立,蔚为国光,中山手创,遗泽余芳,博学审问,慎思不罔,明辨笃行,为国栋梁,莘莘学子,济济一堂,学以致用,不息自强,发扬光大,贯彻主张,振兴中华,永志勿忘",校歌
广州校区南校园地址,广东省广州市海珠区新港西路135号（510275） ,"广州校区南校园,地址"
广州校区东校园地址,广东省广州市番禺区外环东路132号（510006） ,"广州校区东校园,地址"
深圳校区地址,广东省深圳市光明区公常路66号（518107） ,"深圳校区,地址"
院校代码,10558,院校代码
前身溯源,原中山医科大学、岭南大学医学院。1835年11月，美国公理会传教士伯驾（ Peter Parker ）在广州十三行开设眼科医局，并于1859年改称“博济（ Pok Tsai ）医局”。1866年，博济医局搬迁并正式命名为“博济医院”。1879年，博济医学堂改名为博济医院附设南华学堂。1886年，孙中山以“逸仙”之名进南华学堂学医，并从事革命活动。1904年改称南华医学校，1930年改称岭南大学医学院，1936年又称孙逸仙博士纪念医学院，并合并了私立夏葛医学院。1953年，全国高等学校院系调整，国立中山大学医学院与岭南大学医学院合并组立华南医学院。1954年，公立广东光华医学院与华南医学院合并，成立新的华南医学院，是年开始招收外国留学生。1956年，华南医学院改名为广州医学院。1957年改名为中山医学院，1961年被定为卫生部属全国重点高等医科院校。1981年，成为首批有权授予博士、硕士学位的单位之一。1985年，经国家卫生部批准，中山医学院改称中山医科大学。1993年开始，教育部、卫生部和广东省人民政府共建中山医科大学。2000年，经教育部、国家计委、财政部报国务院同意，中山医科大学由卫生部主管调整为广东省主管。,"校史,发展史,前身溯源"
岭南大学,岭南大学是美国友好人士在广州创办的一所私立大学，1927年收归中国人自办。岭南大学建校之初，校址几经变迁。先从沙基金利埠到四牌楼福音堂、花地萃香园，1900年又迁往澳门，1904年，将永久校址设在距广州城东南十里的康乐村。此后，经历了战火洗礼的岭南大学，又于1937年南迁至香港，1942年北上至韶关。1945年抗日战争胜利后，岭南大学得以重返康乐。,"年份,大事记,"
